t,s
-8.790999999999999659e+01,5.597400150529315832e-01
-8.716499999999999204e+01,5.616175053193042110e-01
-8.641999999999998749e+01,5.638879085702227512e-01
-8.567499999999998295e+01,5.665613574131774799e-01
-8.492999999999997840e+01,5.696430565708701099e-01
-8.418499999999997385e+01,5.731329999883590931e-01
-8.343999999999999773e+01,5.770258024098173788e-01
-8.269499999999999318e+01,5.813106504000832286e-01
-8.194999999999998863e+01,5.859713725093729231e-01
-8.120499999999998408e+01,5.909866231914998602e-01
-8.045999999999997954e+01,5.973833167471555017e-01
-7.971499999999997499e+01,6.047465797218479766e-01
-7.896999999999999886e+01,6.123683449180117311e-01
-7.822499999999999432e+01,6.201944326794930351e-01
-7.747999999999998977e+01,6.281685535973625667e-01
-7.673499999999998522e+01,6.362330738946194719e-01
-7.598999999999998067e+01,6.443297364872632160e-01
-7.524499999999997613e+01,6.524003269635070268e-01
-7.450000000000000000e+01,6.603872776339755335e-01
-7.375499999999999545e+01,6.682342061446493453e-01
-7.300999999999999091e+01,6.758863878453903462e-01
-7.226499999999998636e+01,6.832911631755413939e-01
-7.151999999999998181e+01,6.903982828178999442e-01
-7.077499999999997726e+01,6.971601943642815602e-01
-7.002999999999997272e+01,7.035322748218753031e-01
-6.928499999999999659e+01,7.094730135607661969e-01
-6.853999999999999204e+01,7.149441503422079291e-01
-6.779499999999998749e+01,7.199107729451985627e-01
-6.704999999999998295e+01,7.243413786829209222e-01
-6.630499999999997840e+01,7.282079038148588923e-01
-6.555999999999997385e+01,7.314857245475406833e-01
-6.481499999999999773e+01,7.341536329996861676e-01
-6.406999999999999318e+01,7.361937912010848573e-01
-6.332499999999998863e+01,7.375916659078433080e-01
-6.257999999999998408e+01,7.383359467543439969e-01
-6.183499999999997954e+01,7.384184500259214357e-01
-6.108999999999997499e+01,7.378340101254001748e-01
-6.034499999999999886e+01,7.365803606195053810e-01
-5.959999999999999432e+01,7.346580065853355324e-01
-5.885499999999998977e+01,7.320700898298544423e-01
-5.810999999999998522e+01,7.288222484240056698e-01
-5.736499999999998067e+01,7.249224718750389984e-01
-5.661999999999997613e+01,7.203809531536266020e-01
-5.587500000000000000e+01,7.152099386943897574e-01
-5.512999999999999545e+01,7.094235773978569970e-01
-5.438499999999999091e+01,7.030377695772457303e-01
-5.363999999999998636e+01,6.960700167137593430e-01
-5.289499999999998181e+01,6.885392728084216429e-01
-5.214999999999997726e+01,6.804657980462482936e-01
-5.140499999999997272e+01,6.718710154193202611e-01
-5.065999999999999659e+01,6.627773708887588766e-01
-4.991499999999999204e+01,6.532081976015633451e-01
-4.916999999999998749e+01,6.431875846166276167e-01
-4.842499999999998295e+01,6.327402505350070427e-01
-4.767999999999997840e+01,6.218914223726764723e-01
-4.693499999999997385e+01,6.106667199596599316e-01
-4.618999999999999773e+01,5.990920460976006945e-01
-4.544499999999999318e+01,5.871934826586707734e-01
-4.469999999999998863e+01,5.749971927622582468e-01
-4.395499999999998408e+01,5.625293291222128733e-01
-4.320999999999997954e+01,5.498159486166472876e-01
-4.246499999999997499e+01,5.376211585700882978e-01
-4.171999999999999886e+01,5.252707074232834117e-01
-4.097499999999999432e+01,5.127193053827662217e-01
-4.022999999999998977e+01,4.999906819398542424e-01
-3.948499999999998522e+01,4.871083408760578104e-01
-3.873999999999998067e+01,4.740955032208533648e-01
-3.799499999999997613e+01,4.609750555069419553e-01
-3.725000000000000000e+01,4.477695032344284898e-01
-3.650499999999999545e+01,4.345009294357819463e-01
-3.575999999999999091e+01,4.211909582165115906e-01
-3.501499999999998636e+01,4.078607231321895177e-01
-3.426999999999998181e+01,3.945308402507140544e-01
-3.352499999999997726e+01,3.812213857395230776e-01
-3.277999999999997272e+01,3.679518778107831456e-01
-3.203499999999999659e+01,3.547412628533892498e-01
-3.128999999999999204e+01,3.416079055788842633e-01
-3.054499999999998749e+01,3.285695830091613923e-01
-2.979999999999998295e+01,3.156434821370456834e-01
-2.905499999999997840e+01,3.028462010966169737e-01
-2.830999999999997385e+01,2.901937536884597879e-01
-2.756499999999999773e+01,2.777015771160016300e-01
-2.681999999999999318e+01,2.653845428027699627e-01
-2.607499999999998863e+01,2.536918381076712636e-01
-2.532999999999998408e+01,2.422337904045213930e-01
-2.458499999999997954e+01,2.309588143875420663e-01
-2.383999999999997499e+01,2.198802412275404072e-01
-2.309499999999999886e+01,2.090109639146839893e-01
-2.234999999999999432e+01,1.983634546981355717e-01
-2.160499999999998977e+01,1.879497846523347226e-01
-2.085999999999998522e+01,1.777816452257703628e-01
